SR_PCODE,SR_NAME,SR_MM_NAME,TS_PCODE,TS_NAME,TS_MM_NAME,RNDYNB_14,RNDYNB_15,RNDYNB_16,RNDYNB_17,RNFLQTY_14,RNFLQTY_15,RNFLQTY_16,RNFLQTY_17,WETRCON,CLMTCON,HHTEMP,LOWTEMP,SMHHTEMP_14,SMHHTEMP_15,SMHHTEMP_16,SMHHTEMP_17,WNTLWTEMP_14,WNTLWTEMP_15,WNTLWTEMP_16,WNTLWTEMP_17
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010023,Yamethin,ရမည်းသင်း,65,62,96,53,43.11,33.03,97.56,27.13,3,0,45,6,42,41,45,43.6,9,8,6,6.1
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010024,Pyawbwe,ပျော်ဘွယ်,58,73,81,57,27.8,27.32,44.82,28.94,2,1,41.6,8,40.3,40.3,40.3,41.6,7.9,7.9,7.9,8
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010028,Meiktila,မိတ္ထီလာ,50,62,77,1,23.03,34.41,59.45,0.08,3,0,37.5,12.2,41,41,44,37.5,12.2,11.1,10.8,12.2
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010029,Mahlaing,မလှိုင်,38,48,68,42,15.72,23.18,38.48,23.09,3,0,42,32,39,39,39,39,30,32,32,29
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010030,Thazi,သာစည်,51,45,45,48,27.92,23.2,40.57,32.57,3,0,43,11,42,42,42,42,16,14,11,16
MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010031,Wundwin,ဝမ်းတွင်း,48,62,66,unknown,20.71,32.68,49.37,unknown,3,0,36.6,29.4,37,38.2,37.1,0,16.3,15.8,16,0
MMR011,Mon,မွန်ပြည်နယ်,MMR011001,Mawlamyine,မော်လမြိုင်,unknown,unknown,118,108,unknown,unknown,150.04,126.43,2,1,38.7,19,0,0,0,41.2,0,0,0,12.8
MMR011,Mon,မွန်ပြည်နယ်,MMR011002,Kyaikmaraw,ကျိုက္မရော,unknown,unknown,115,116,unknown,unknown,147.22,144.87,2,1,37.1,16,0,0,37.5,37.5,0,0,17,17
MMR011,Mon,မွန်ပြည်နယ်,MMR011003,Chaungzon,ချောင်းဆုံ,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2,1,30,23,0,0,0,0,0,0,0,0
MMR011,Mon,မွန်ပြည်နယ်,MMR011004,Thanbyuzayat,သံဖြူဇရပ်,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2,1,36.1,12.2,0,0,36.1,34.3,0,0,12.2,18.1
MMR011,Mon,မွန်ပြည်နယ်,MMR011005,Mudon,မုဒုံ,unknown,unknown,311,132,unknown,unknown,137.81,136.56,2,1,0,0,0,0,38.7,37.5,0,0,11.5,11
MMR011,Mon,မွန်ပြည်နယ်,MMR011006,Ye,ရေး,unknown,unknown,unknown,127,unknown,unknown,unknown,178.78,2,1,39.5,12.5,0,0,0,0,0,0,0,0
MMR011,Mon,မွန်ပြည်နယ်,MMR011007,Thaton,သထုံ,unknown,unknown,unknown,unknown,unknown,unknown,unknown,186.6,2,1,41.1,9,0,0,0,33.9,0,0,0,23.8
MMR011,Mon,မွန်ပြည်နယ်,MMR011008,Paung,ပေါင်,unknown,unknown,136,115,unknown,unknown,187.27,191.46,2,1,38,20,0,0,0,0,0,0,0,0
MMR011,Mon,မွန်ပြည်နယ်,MMR011009,Kyaikto,ကျိုက်ထို,unknown,unknown,134,1,unknown,unknown,130.59,0.08,2,1,44,13,0,0,41.7,40.8,0,0,13,13
MMR011,Mon,မွန်ပြည်နယ်,MMR011010,Bilin,ဘီးလင်း,unknown,unknown,139,145,unknown,unknown,175.8,170.43,2,1,40.2,11.7,0,0,40.2,40,0,0,11.7,16.1
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012001,Sittwe,စစ်တွေ,119,115,119,9,215.25,219.12,215.25,48.55,3,1,34.5,14,34.5,33.2,34.5,34.5,14.8,13.7,14.8,14.8
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012002,Ponnagyun,ပုဏ္ဏားကျွန်း,138,108,108,106,200.21,149.23,149.23,195.33,2,1,36,13,32.5,36,36,36.1,13,13,13,13
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012003,Mrauk-U,မြောက်ဦး,109,114,124,129,120.56,190.66,130.03,156.56,2,1,40,15,41.5,40.5,39,38.3,10.5,10.5,8.5,11
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012004,Kyauktaw,ကျောက်တော်,115,121,117,109,152.16,222.55,152.44,185.9,2,1,41.2,5.6,41.2,40.4,40.4,42.5,10.5,5.6,9.5,9
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012005,Minbya,မင်းပြား,128,114,133,135,117.44,108.4,147.69,195.94,2,1,32.6,14,34.4,34.5,39,32.6,13,12.3,12,24
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012006,Myebon,မြေပုံ,unknown,unknown,126,110,unknown,unknown,179.17,166.14,2,1,37,15.7,0,0,30,30,0,0,25,25
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012007,Pauktaw,ပေါက်တော,108,121,121,9,252.4,282.9,237.84,5.32,2,1,38,15,38,38,38,38,15,15,15,15
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012008,Rathedaung,ရသေ့တောင်,135,137,106,102,179,180.5,188.02,173.55,2,1,38,17,37,32,32,36,18,17,17,17
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012009,Maungdaw,မောင်တော,101,127,122,115,159.41,228.93,201.39,167.42,2,1,38,9,39,39,39.3,39.3,9.5,9.5,9.5,9.5
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012010,Buthidaung,ဘူးသီးတောင်,99,106,104,14,156.06,213.53,137.5,14.04,2,1,46,10,40,40,46,40,10,10,10,10
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012011,Kyaukpyu,ကျောက်ဖြူ,118,136,127,133,186.2,218.52,193.98,226.3,2,1,36.82,15.5,36,35.8,33.7,36.2,14,14,13,15.5
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012012,Munaung,မာန်အောင်,135,142,149,149,150.64,166.89,188.11,183.24,2,1,36.5,12,36.5,35,36,34,0.75,12,14.7,13
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012013,Ramree,ရမ်းဗြဲ,114,123,127,136,142.39,210.9,186.15,255.64,2,1,37.25,25.33,30,32,30,30,27,27,18,27
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012014,Ann,အမ်း,118,129,130,133,114.78,198.23,157.75,186.71,2,1,40,10,41,41,35.5,40.5,3.3,3.5,14,10
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012015,Thandwe,သံတွဲ,122,126,166,65,185.45,173.36,180.83,136.51,2,1,37,6.5,33.3,32.8,32.6,33.1,12.6,21.1,20.7,20.3
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012016,Toungup,တောင်ကုတ်,121,104,125,134,170.04,171.7,160.91,183.86,2,1,36.4,28,35.9,36.4,27,36,18,14.4,38.8,0
MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012017,Gwa,ဂွ,112,124,122,16,163.77,177.78,176.14,8.73,2,1,34.7,9.1,34.7,35.8,31.4,31.4,11,11.3,22.3,22.7
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013001,Insein,အင်းစိန်,124,127,122,126,78,80,76,79,2,1,40,20,41,39,42,40,20,19,20,20
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013002,Mingaladon,မင်္ဂလာဒုံ,115,130,126,117,99.89,105,104,101.93,2,1,39,15.5,37,35,38,39,15,14.9,15.4,15.5
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013003,Hmawbi,မှော်ဘီ,113,124,124,115,73.47,76.21,73.24,97.2,2,1,40,19,39.5,40,41.2,40,13,13.5,12,19
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013004,Hlegu,လှည်းကူး,112,112,111,100,110.13,107.53,98.61,102.98,2,1,38,20,35,38,35,34,20,25,25,20
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013005,Taikkyi,တိုက်ကြီး,105,108,125,122,103.25,90.3,111.2,109.8,2,1,37,24,34,32,34,34,30,23,24,24
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013006,Htantabin,ထန်းတပင်,116,125,116,106,126.68,131.53,144.13,124.09,2,1,38,30,34,34,40,40,32,30,36,36
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013007,Shwepyithar,ရွှေပြည်သာ,103,106,107,116,70.88,84.91,87.78,85.89,2,1,38,30,34,34,37,38,30,30,30,30
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013008,Hlaingtharya,လှိုင်သာယာ,131,128,113,126,61.25,58.53,48.45,56.97,2,1,41,27,40,39,40,41,26,25,26,27
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,81,80,80,unknown,89.7,89,89,unknown,2,1,40,24,40,40,41,0,23.88,23.88,24,0
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013010,Yankin,ရန်ကင်း,70,78,78,unknown,80,80,80,unknown,2,1,40,23.78,40,40,40,0,29,60,35,0
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013011,South Okkalapa,တောင်ဥက္ကလာပ,95,103,101,unknown,116.3,79.2,138.85,unknown,2,1,41,13,40.2,40.8,41.1,0,13.2,13.2,13.5,13.8
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013012,North Okkalapa,မြောက်ဥက္ကလာပ,91,92,90,unknown,102,105,101,unknown,2,1,35,24,34,34,35,0,24,22,24,0
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013013,Thaketa,သာကေတ,105,110,105,unknown,99.2,97.8,98.8,unknown,2,1,40,16,39,40,39.9,0,15,16,17,0
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013014,Dawbon,ဒေါပုံ,90,114,95,unknown,89.5,95.5,90.5,unknown,2,1,40,21,39,37,39,0,23,21,23,0
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013015,Tamwe,တာမွေ,unknown,unknown,unknown,131,unknown,unknown,unknown,101.7,2,1,36,20,0,0,0,36,0,0,0,20
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013016,Pazundaung,ပုဇွန်တောင်,99,114,113,unknown,88.1,113.31,112.8,unknown,2,1,39,24,38.85,40.8,39.9,0,36.08,23.5,24,0
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013017,Botahtaung,ဗိုလ်တထောင်,88,85,95,unknown,92.9,92.8,90.5,unknown,2,1,50,23,45,44,39,0,30,35,23,0
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013018,Dagon Myothit (South),ဒဂုံမြို့သစ်တောင်ပိုင်း,87,100,97,unknown,138.39,110.31,150.24,unknown,2,1,31,23,31,40.8,37.7,0,23,13.5,19,0
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013019,Dagon Myothit (North),ဒဂုံမြို့သစ်မြောက်ပိုင်း,90,91,53,87,103.57,69.7,75.69,105.58,2,1,30,22,36,38,40,36,27,26,25,25
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013020,Dagon Myothit (East),ဒဂုံမြို့သစ်အရှေ့ပိုင်း,136,103,105,unknown,116.25,80,82,unknown,2,1,36,22,30,30,30,0,24,25,24,0
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013021,Dagon Myothit (Seikkan),ဒဂုံမြို့သစ်ဆိပ်ကမ်း,59,118,110,80,187.5,102.5,105.27,100.2,2,1,42,16,42,40,45,31,18,12.5,15,23
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013022,Mingalartaungnyunt,မင်္ဂလာတောင်ညွန့်,unknown,unknown,unknown,103,unknown,unknown,unknown,101.21,2,1,40.7,25.5,0,0,0,40.7,0,0,0,25.5
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013023,Thanlyin,သန်လျှင်,unknown,108,101,unknown,unknown,112.43,105.84,unknown,2,1,39.45,23.8,0,38.75,39.45,0,0,23.84,23.8,0
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013024,Kyauktan,ကျောက်တန်း,116,118,128,unknown,107.95,125.19,139.65,unknown,2,1,44.1,7.7,36.35,38.6,38.67,0,22.35,25.3,25.6,0
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013025,Thongwa,သုံးခွ,unknown,unknown,unknown,131,unknown,unknown,unknown,134.87,2,1,42.5,15.1,0,0,0,42.5,0,0,0,13.2
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013026,Kayan,ခရမ်း,127,129,137,128,132.25,136.87,126.34,126.35,2,1,40.5,12,40.5,40.2,42.5,39.6,13.1,17.5,13.2,15.1
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013027,Twantay,တွံတေး,89,85,95,97,124.24,92.31,131.98,132.09,2,1,44,10,38.11,42.16,39.1,40.11,15.1,15.11,16.23,16.22
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013028,Kawhmu,ကော့မှုး,110,111,111,unknown,112.87,114.09,100.16,unknown,2,1,36,29,33.48,35.58,35.8,0,19.79,19.92,19.9,0
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013029,Kungyangon,ကွမ်းခြံကုန်း,120,119,125,unknown,102.77,94.79,115.19,unknown,2,1,38,21,34.6,38.5,36,38,20.4,20,21,21
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013030,Dala,ဒလ,100,100,100,unknown,88.53,88.53,88.53,unknown,2,1,40,32,32,36,41,0,20,18,32,0
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013031,Seikgyikanaungto,ဆိပ်ကြီးခနောင်တို,unknown,unknown,unknown,135,unknown,unknown,unknown,92.21,2,1,40,18,0,0,0,40,0,0,0,18
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013032,Cocokyun,ကိုကိုးကျွန်း,unknown,unknown,unknown,20,unknown,unknown,unknown,13.89,2,1,34,18,0,0,0,32,0,0,0,19
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013033,Kyauktada,ကျောက်တံတား,unknown,unknown,unknown,101,unknown,unknown,unknown,79,2,1,40,27,0,0,0,40,0,0,0,27
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013034,Pabedan,ပန်းပဲတန်း,unknown,unknown,unknown,105,unknown,unknown,unknown,100,2,1,40,23.88,0,0,0,39,0,0,0,12
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013035,Lanmadaw,လမ်းမတော်,unknown,unknown,unknown,100,unknown,unknown,unknown,104.1,2,1,39.8,18,0,0,0,40,0,0,0,12
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013036,Latha,လသာ,unknown,unknown,unknown,136,unknown,unknown,unknown,104.71,2,1,40,12,0,0,0,37,0,0,0,15
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013037,Ahlone,အလုံ,unknown,unknown,unknown,100,unknown,unknown,unknown,100,2,1,40,12,0,0,0,39,0,0,0,12
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013038,Kyeemyindaing,ကြည့်မြင်တိုင်,unknown,unknown,101,101,unknown,unknown,111,100,2,1,38.1,16.8,0,0,36.8,36.8,0,0,17.4,17.4
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013039,Sanchaung,စမ်းချောင်း,unknown,unknown,unknown,100,unknown,unknown,unknown,99.2,2,1,36,22,0,0,0,38,0,0,0,15
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013040,Hlaing,လှိုင်,unknown,unknown,unknown,131,unknown,unknown,unknown,102.64,2,1,30,28,0,0,0,40,0,0,0,12
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013041,Kamaryut,ကမာရွတ်,unknown,unknown,unknown,128,unknown,unknown,unknown,109.3,2,1,41,13,0,0,0,41,0,0,0,13
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013042,Mayangone,မရမ်းကုန်း,unknown,unknown,unknown,114,unknown,unknown,unknown,101.96,2,1,38,15,0,0,0,38,0,0,0,15
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013043,Dagon,ဒဂုံ,unknown,unknown,unknown,150,unknown,unknown,unknown,120,2,1,40,23,0,0,0,38,0,0,0,23
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013044,Bahan,ဗဟန်း,unknown,unknown,unknown,120,unknown,unknown,unknown,123.46,2,1,40.2,11.5,0,0,0,40,0,0,0,12
MMR013,Yangon,ရန်ကုန်ဒေသကြီး,MMR013045,Seikkan,ဆိပ်ကမ်း,unknown,unknown,100,80,unknown,unknown,85,85,2,1,40,16,0,0,38,40,0,0,18,18
MMR222,Shan,ရှမ်းပြည်နယ်,MMR014001,Taunggyi,တောင်ကြီး,unknown,unknown,unknown,113,unknown,unknown,unknown,52.83,1,1,34,4.5,0,0,0,33,0,0,0,7
MMR222,Shan,ရှမ်းပြည်နယ်,MMR014002,Nyaungshwe,ညောင်ရွှေ,unknown,unknown,unknown,68,unknown,unknown,unknown,43.25,2,1,31.75,14.67,0,0,0,37,0,0,0,10
MMR222,Shan,ရှမ်းပြည်နယ်,MMR014003,Hopong,ဟိုပုံး,71,71,85,75,43.78,43.78,48.74,40.39,1,1,39,6,35,35,42,34,8,8,10,20
MMR222,Shan,ရှမ်းပြည်နယ်,MMR014004,Hsihseng,ဆီဆိုင်,71,79,74,94,55.52,56.32,58.28,55.59,2,1,32,13,33,32,37,30,15,15,7,19
MMR222,Shan,ရှမ်းပြည်နယ်,MMR014005,Kalaw,ကလော,91,79,65,84,39.72,30.45,41.54,34.51,1,1,37.4,0,36,34.4,36,36.6,0.6,0,5,2.2
MMR222,Shan,ရှမ်းပြည်နယ်,MMR014006,Pindaya,ပင်းတယ,70,81,82,94,33.89,33.64,38.22,41.68,2,1,34,1,25,23,34,30,7,11,9,11
MMR222,Shan,ရှမ်းပြည်နယ်,MMR014007,Ywangan,ရွာငံ,unknown,unknown,unknown,113,unknown,unknown,unknown,70.39,1,1,36,3,0,0,0,26,0,0,0,17
MMR222,Shan,ရှမ်းပြည်နယ်,MMR014008,Lawksawk,ရပ်စောက်,unknown,unknown,unknown,58,unknown,unknown,unknown,24.07,2,1,40,4,0,0,0,40,0,0,0,4
MMR222,Shan,ရှမ်းပြည်နယ်,MMR014009,Pinlaung,ပင်လောင်း,unknown,unknown,unknown,124,unknown,unknown,unknown,79.41,2,1,30.6,7.7,0,0,0,31.3,0,0,0,7.7
MMR222,Shan,ရှမ်းပြည်နယ်,MMR014010,Pekon,ဖယ်ခုံ,62,59,73,69,32.29,27.3,28.27,33.45,2,1,35,8,37,38,38,35,11,10,9,13
MMR222,Shan,ရှမ်းပြည်နယ်,MMR014011,Loilen,လွိုင်လင်,106,101,106,72,53.43,46.14,47.63,52.87,2,1,26,-6,34,33,35,32,0,1.5,-1.2,10
MMR222,Shan,ရှမ်းပြည်နယ်,MMR014012,Laihka,လဲချား,95,97,95,76,43.43,44.68,37.15,39.58,2,1,36,7,37,40,41,36,9,10,8,7
MMR222,Shan,ရှမ်းပြည်နယ်,MMR014013,Nansang,နမ့်စန်,106,118,111,81,54.49,56.97,53.9,47.48,1,1,36.1,-1,36.9,29.9,39.7,32.2,2.3,2.9,-1.4,17.2
MMR222,Shan,ရှမ်းပြည်နယ်,MMR014014,Kunhing,ကွန်ဟိန်း,88,102,86,unknown,62.78,66.92,61.56,unknown,2,1,24,13,22,22,24,0,14,13,13,0
MMR222,Shan,ရှမ်းပြည်နယ်,MMR014015,Kyethi,ကျေးသီး,107,112,117,103,54.36,69.68,69.72,62.67,1,1,35.33,3.8,32,33.16,33.2,28,5.13,5.97,6.87,18
MMR222,Shan,ရှမ်းပြည်နယ်,MMR014016,Mongkaing,မိုင်းကိုင်,79,93,91,70,47.65,48.51,51.66,66.37,2,1,34,6,28.97,30,37,32,12,7,7,10
MMR222,Shan,ရှမ်းပြည်နယ်,MMR014017,Monghsu,မိုင်းရှုး,101,110,116,6,115.91,78.7,72.46,3.54,2,1,31,19,30,30,30,31,19,19,19,19
MMR222,Shan,ရှမ်းပြည်နယ်,MMR014018,Langkho,လင်းခေး,unknown,52,54,39,unknown,25.35,35.7,36.66,2,1,40,25,0,43,43,43,0,11,11,11
MMR222,Shan,ရှမ်းပြည်နယ်,MMR014019,Mongnai,မိုးနဲ,unknown,unknown,81,59,unknown,unknown,48.37,33.88,2,1,38,9,0,,36,38,0,0,3,9
MMR222,Shan,ရှမ်းပြည်နယ်,MMR014020,Mawkmai,မောက်မယ်,58,50,54,32,25.77,22.58,27.91,19.17,2,1,37,5,38,39,43,37,17,19,7,12
MMR222,Shan,ရှမ်းပြည်နယ်,MMR014021,Mongpan,မိုင်းပန်,77,70,70,50,43.59,37.23,37.91,26.59,2,1,39.3,6.72,37,30,41,35.55,10,16,9,18.33
MMR222,Shan,ရှမ်းပြည်နယ်,MMR015001,Lashio,လားရှိုး,79,101,107,64,44.2,52.58,58.5,97.84,1,1,38,3,39.2,36,37.9,35,1.2,4,3,9
MMR222,Shan,ရှမ်းပြည်နယ်,MMR015002,Hseni,သိန်းနီ,66,64,89,85,57.78,50.26,71.94,64.6,2,1,30,7,37,34,35,36,9,9,7,10
MMR222,Shan,ရှမ်းပြည်နယ်,MMR015003,Mongyai,မိုင်းရယ်,unknown,93,109,84,unknown,39.37,37.6,31.04,2,1,35,2,0,34,35,34,0,2,3,2
MMR222,Shan,ရှမ်းပြည်နယ်,MMR015004,Tangyan,တန့်ယန်း,unknown,unknown,unknown,195,unknown,unknown,unknown,113.48,2,1,32,4,0,0,0,35,0,0,0,6
MMR222,Shan,ရှမ်းပြည်နယ်,MMR015005,Pangsang,ပန်ဆန်း,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
MMR222,Shan,ရှမ်းပြည်နယ်,MMR015006,Narphan,နားဖန့်,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
MMR222,Shan,ရှမ်းပြည်နယ်,MMR015007,Pangwaun,ပန်ဝိုင်း,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
MMR222,Shan,ရှမ်းပြည်နယ်,MMR015008,Mongmao,မိုင်းမော,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
MMR222,Shan,ရှမ်းပြည်နယ်,MMR015009,Muse,မူဆယ်,81,81,97,79,51.02,49.84,57.66,49.23,2,1,35,5,35,29,34,36,10,9,4,7
MMR222,Shan,ရှမ်းပြည်နယ်,MMR015010,Namhkan,နမ့်ခမ်း,83,110,106,6,43.59,55.91,67.32,1.58,2,1,37,5,37,36,37,30,5,5,5,5
MMR222,Shan,ရှမ်းပြည်နယ်,MMR015011,Kutkai,ကွတ်ခိုင်,118,113,89,87,63.73,62.75,60.91,54.26,1,1,37,-3,35,34,35,35,-1,-4,-4,-3
MMR222,Shan,ရှမ်းပြည်နယ်,MMR015012,Kyaukme,ကျောက်မဲ,72,86,106,71,44.14,57.28,51.86,40.52,2,1,37,5,22.5,37.5,39,37,6,5,4.2,5
MMR222,Shan,ရှမ်းပြည်နယ်,MMR015013,Nawnghkio,နောင်ချို,unknown,unknown,91,25,unknown,unknown,42.82,18.14,2,1,32.3,7.8,0,0,34,34,0,0,6,6
MMR222,Shan,ရှမ်းပြည်နယ်,MMR015014,Hsipaw,သီပေါ,70,89,85,71,47.83,56.62,51.65,46.41,2,1,42,14,41,41,41,33,5,6,6,8
MMR222,Shan,ရှမ်းပြည်နယ်,MMR015015,Namtu,နမ္မတူ,14,101,95,75,47.05,68.14,70.88,48.67,2,1,34,8,37,39,40,39,6,8,8,8
MMR222,Shan,ရှမ်းပြည်နယ်,MMR015016,Namhsan,နမ့်ဆန်,104,123,132,117,57.08,72.45,74.74,59.09,1,1,25,8,27,28,29,0,10,9,9,0
MMR222,Shan,ရှမ်းပြည်နယ်,MMR015017,Mongmit,မိုးမိတ်,48,69,72,56,34.35,49.13,46.1,33.07,2,1,41,7.3,38.7,39.09,40,38,10.1,7.3,8,0
MMR222,Shan,ရှမ်းပြည်နယ်,MMR015018,Mabein,မဘိမ်း,70,64,83,69,39.63,46.5,41.54,30,2,1,41.4,12.4,44,43,42,42,12,12,19,0
MMR222,Shan,ရှမ်းပြည်နယ်,MMR015019,Manton,မန်တုန်,89,118,123,1,49.74,66.32,68.7,0.34,1,1,36,0,36,34,34,34,5.4,3,3,0
MMR222,Shan,ရှမ်းပြည်နယ်,MMR015020,Kunlong,ကွမ်းလုံ,unknown,unknown,unknown,114,unknown,unknown,unknown,66.94,2,1,31,15,0,0,0,31,0,0,0,10
MMR222,Shan,ရှမ်းပြည်နယ်,MMR015021,Hopang,ဟိုပန်,78,95,94,80,60.88,48.61,43.05,51.12,2,1,38,8,38,38,23,35,10,10,11,10
MMR222,Shan,ရှမ်းပြည်နယ်,MMR015022,Laukkaing,လောက်ကိုင်,unknown,unknown,unknown,113,unknown,unknown,unknown,63.18,2,1,32,10,0,0,0,36,0,0,0,10
MMR222,Shan,ရှမ်းပြည်နယ်,MMR015023,Konkyan,ကုန်းကြမ်း,88,56,89,62,56.65,33.06,42.39,32.16,1,1,33,22,30,32,32,33,20,21,21,22
MMR222,Shan,ရှမ်းပြည်နယ်,MMR015024,Matman,မက်မန်း,119,127,111,55,84.43,78.63,82.48,33.89,2,1,33,2,32,32,32,33,2,2,8,12
MMR222,Shan,ရှမ်းပြည်နယ်,MMR016001,Kengtung,ကျိုင်းတုံ,91,98,93,65,48.03,49.97,71.13,40.39,2,1,39.6,5.8,30.1,33.9,36.2,35.1,17.4,10.8,94,8
MMR222,Shan,ရှမ်းပြည်နယ်,MMR016002,Mongkhet,မိုင်းခတ်,73,84,86,75,39.86,59.01,50.68,39.44,2,1,35,4,35,35,35,30,4,5,5,4
MMR222,Shan,ရှမ်းပြည်နယ်,MMR016003,Mongyang,မိုင်းယန်း,91,106,94,unknown,42.92,48.73,38.77,unknown,1,1,36,3,36,36,36,0,3,3,3,0
MMR222,Shan,ရှမ်းပြည်နယ်,MMR016005,Mongla,မိုင်းလား,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,0,0,0,0,0,0,0,0,0
MMR222,Shan,ရှမ်းပြည်နယ်,MMR016006,Monghsat,မိုင်းဆတ်,unknown,unknown,unknown,70,unknown,unknown,unknown,40.47,2,1,30.9,17.4,0,0,0,30.9,0,0,0,17.4
MMR222,Shan,ရှမ်းပြည်နယ်,MMR016007,Mongping,မိုင်းပျင်း,83,81,13,63,37.75,38.51,3.67,31.63,2,1,33,10,33,34,34,34,11,11,11,11
MMR222,Shan,ရှမ်းပြည်နယ်,MMR016008,Mongton,မိုင်းတုံ,unknown,unknown,unknown,38,unknown,unknown,unknown,37.35,1,1,39,12,0,0,0,0,0,0,0,12
